name,category,city,country,lat,lng,website,specialty,price,price_low,price_high,accreditations,established,trust_score,tier,tier_label,coast,trust_signals,red_flags,defunct,evidence,accreditation,transparency,track_record,safety
ID Hospital,Cosmetic Surgery,Seoul,South Korea,37.4991,127.0137,https://www.idhospital.com/en,"Facial bone contouring / orthognathic, FFS, rhino","Contouring/two-jaw $12,000-25,000",2000,25000,MOHW foreign-patient institution; KRI volume records,since 1999,82,A,Verified · Well-Established,Incheon port ~40 km,15+ board-certified surgeons + anesthesiologists named; hospital-grade OR; 10-language,Very high throughput - insist on one named operating surgeon (ghost-surgery risk),False,26,19,12,13,12
Dream Plastic Surgery,Cosmetic Surgery,Seoul,South Korea,37.5065,127.0387,https://en.e-dream.co.kr,"Eyes, rhino, contouring/two-jaw, breast, body","Double eyelid $1,800-3,800; rhino $4,000-7,500",1800,18000,MOHW foreign-patient institution; SNU-grad founders,since 1999,82,A,Verified · Well-Established,Incheon port ~40 km,States 20+ yrs w/ no medical accidents; 9 monitored ORs; on-site anesthesiologists,Standard Gangnam caveats - verify surgeon certification,False,26,18,12,13,13
VIP Plastic Surgery (Dr. Lee),Cosmetic Surgery,Jeju,South Korea,33.4996,126.5312,https://www.vippskorea.com,"Deep-plane facelift, rib rhino, eyes, contouring","Rhino $5,000-9,000; deep-plane facelift $12,000-20,000",2000,20000,MOHW foreign-patient institution,since 2001,82,A,Verified · Well-Established,Jeju Island - Jeju/Seogwipo ports (sailing fit),"Led by Dr. M.J. Lee (MD, PhD, 25+ yrs); in-house anesthesiologist; all-inclusive packages",Boutique single-surgeon model - limited capacity,False,26,18,13,12,13
Dental Zamora,Dentistry,Playas de Rosarito,Mexico,32.3617,-117.0568,https://dentalzamora.com/,"Implants, crowns, ortho, endo, perio, surgery","Implant + crown ~$1,250",300,1250,Baja/Mexican dental assoc. leaders; faculty instructors,since 1992,82,A,Verified · Well-Established,Pacific beachfront - 40 mi from Ensenada port,30-yr track record; named dentists w/ published resumes; accepts US insurance,"Dated website; general family practice, not implant mega-clinic",False,28,17,12,13,12
Smile Hair Clinic,Hair Transplant,Istanbul,Turkey,40.982,29.1339,https://www.smilehairclinic.com/en/,"FUE, Sapphire FUE, DHI","All-inclusive ~$2,500-4,500",2500,4500,MoH; TEMOS A-Rated (Turkey's 1st for hair); ISHRS-assoc founders,since 2018,82,A,Verified · Well-Established,Bosphorus - Galataport,Two named founding surgeons; TEMOS accreditation; publishes safety guidance,High patient throughput; technician-assisted steps common,False,27,18,13,11,13
Dr. Resul Yaman Clinic,Hair Transplant,Istanbul,Turkey,41.0082,28.9784,https://resulyaman.com/,"Manual FUE, beard/eyebrow, facial hair","~$3,500-7,000",3500,7000,"ISHRS associate member, IAHRS-listed",since 2009,82,A,Verified · Well-Established,Bosphorus - Galataport,Hands-on manual FUE by the named surgeon; IAHRS peer vetting,Lower-volume; premium of quality over price,False,27,18,13,11,13
Algodones Dental Center,Dentistry,Los Algodones,Mexico,32.7083,-114.7205,https://www.algodonesdentalcenter.com/,"Implants, All-on-4/6/8, zygomatic, full-mouth","Implant $790; All-on-4 $8,110; crown $490",790,8110,ADA/ITI/ICOI affiliations; Nobel/Straumann/Zimmer,37+ yrs lead,81,A,Verified · Well-Established,Inland (Colorado River) - not sailing-accessible,40+ dentists; in-house lab; 2-5 yr warranty; CBCT/CAD-CAM; free border shuttle,Managed by third-party medical-tourism company - verify treating dentist,False,28,18,11,12,12
HERSHE Plastic Surgery & Dermatology,Cosmetic Surgery,Seoul,South Korea,37.4841,127.0252,https://hershebeauty.com,"Facelift/lifting, breast, rhino, eyes, derma","Double eyelid $2,000-4,000; facelift $9,000-15,000",2000,15000,MOHW foreign-patient institution; Yonsei/Severance,since ~1996,80,A,Verified · Well-Established,Incheon port ~40 km,Surgeons trained at Yonsei; Severance-certified chief director; strong lifting track record,English domain is JS-rendered - confirm it loads before relying on it,False,26,18,11,13,12
JW Plastic Surgery,Cosmetic Surgery,Seoul,South Korea,37.5097,127.02,https://jwbeauty.net,"Revision (eyes/nose/breast), rhino, contouring","Rhino $4,500-8,500 (revision higher); breast $6,000-9,000",2000,9000,MOHW foreign-patient institution,since ~2000,79,B,Reputable · Do Your Diligence,Incheon port ~40 km,Board-certified surgeons; noted for revision/corrective work; 5-language coordinators,Standard Gangnam caveats,False,26,17,12,12,12
Sani Dental Group,Dentistry,Los Algodones,Mexico,32.7198,-114.7439,https://sanidentalgroup.com/,"All-on-4 (Nobel), implants, full-mouth restoration","Implant ~$750+; All-on-4 ~$8,000-11,000/arch",750,11000,Top MX/US-school-trained dentists; ADM standard,since 1985,79,B,Reputable · Do Your Diligence,Inland - not sailing-accessible,One of oldest/largest Molar City groups; on-site lab; dedicated dental-vacation planning,Homepage light on specifics/prices; verify individual dentist per case,False,28,16,10,13,12
Ocean Dental Cancun,Dentistry,Cancun,Mexico,21.1072,-86.7839,https://oceandentalcancun.com/,"All-on-4, 3-on-6, implants, full-mouth","Implant $900; All-on-4 $10,800/arch; crown $450",900,10800,States US board-certified/US-trained; Nobel/Ivoclar,since ~2015,79,B,Reputable · Do Your Diligence,Caribbean - Hotel Zone on the water,"1,000+ certified reviews; in-house lab; strict sterilization; 2,000+ full-mouth cases",'US Board Certified' claim not individually documented,False,28,16,11,12,12
RamLanz Dental Clinic,Dentistry,Mexicali,Mexico,32.6245,-115.4523,http://www.ramlanzdental.com/,"Implants, prosthesis, crowns, endo, ortho","Implant ~$800-1,300; crown ~$300-450",300,1300,ADA-affiliated dentists; award recognition,since ~1986,79,B,Reputable · Do Your Diligence,Inland - not sailing-accessible,Nearly four decades operating; ADA affiliation; US phone lines,Older/basic website; no online price list,False,28,16,10,13,12
Dr. Serkan Aygin Clinic,Hair Transplant,Istanbul,Turkey,40.9979,28.9879,https://www.drserkanaygin.com/,"FUE, Sapphire FUE, DHI, robotic, women's","All-inclusive ~$2,500-4,500",2500,4500,MoH; claims JCI hospital setting + ISO 9001,since 1996,79,B,Reputable · Do Your Diligence,Bosphorus - Galataport,One of Turkey's earliest hair physicians; huge review base; dermatology background,Very high volume/global marketing; verify JCI claim applies to the facility,False,27,16,11,13,12
VIEW Plastic Surgery,Cosmetic Surgery,Seoul,South Korea,37.4943,127.0411,https://www.viewplasticsurgery.com,"Facial contouring/two-jaw, breast, rhino, eyes","Double eyelid $2,000-4,000; contouring $10,000-20,000",2000,20000,MOHW foreign-patient institution,since 2005,78,B,Reputable · Do Your Diligence,Incheon port ~40 km,Board-certified surgeons; dedicated 19-story building; international patient center,Confirm the operating surgeon; avoid broker packages,False,26,17,11,12,12
Wonjin Plastic Surgery,Cosmetic Surgery,Seoul,South Korea,37.4914,127.0152,https://wonjinbeauty.com/en,"Contouring, rhino, eyes, breast, lipo, anti-aging","Double eyelid $1,800-3,800; contouring $9,000-18,000",1800,18000,MOHW foreign-patient institution,since 1999,78,B,Reputable · Do Your Diligence,Incheon port ~40 km,Positions as Korea's largest general PS hospital; specialized centers; 10-language support,Large marketing-heavy operation - verify surgeon board certification,False,26,17,11,13,11
Cosmedica (Dr. Levent Acar),Hair Transplant,Istanbul,Turkey,41.0094,28.9645,https://cosmedica.com/,"Sapphire FUE, DHI, Micro Sapphire","All-inclusive ~$2,500-5,000",2500,5000,MoH; Dr. Acar ISHRS associate; ISO-referenced,since ~2008,78,B,Reputable · Do Your Diligence,Bosphorus - Galataport,Named surgeon; large documented case volume; strong reviews,High marketing/celebrity spend; verify surgeon's personal involvement,False,27,16,11,12,12
Girin Plastic Surgery,Cosmetic Surgery,Seoul,South Korea,37.5111,127.0323,https://www.girinpsen.com,"Contouring, breast, lipo/body, eyes, rhino","Double eyelid $1,800-3,800; contouring $9,000-17,000",1800,17000,KIMA-certified under MOHW; foreign-patient institution,2010s,77,B,Reputable · Do Your Diligence,Incheon port ~40 km,Full-time anesthesiologists; specialist teams; open Sundays; interpreters,Standard Gangnam caveats,False,26,17,11,11,12
GNG Hospital,Cosmetic Surgery,Seoul,South Korea,37.485,127.0331,https://en.gnghospital.com,"Rhino / revision rhino, contouring, eyes","Double eyelid $2,000-4,000; rhino $4,500-8,500",2000,19000,MOHW foreign-patient institution,2010s,77,B,Reputable · Do Your Diligence,Incheon port ~40 km,Board-certified plastic surgeons + ENT (functional + cosmetic nose),Standard Gangnam caveats,False,26,17,11,11,12
She's Plastic Surgery (Busan),Cosmetic Surgery,Busan,South Korea,35.1587,129.06,https://www.shesps.com/eng,"Facelift/anti-aging, eyes, rhino, lifting","Double eyelid $1,500-3,500; facelift $8,000-14,000",1500,14000,MOHW foreign-patient institution,since 2000,77,B,Reputable · Do Your Diligence,Busan - major cruise/yacht port (sailing fit),Board-certified surgeons; 6-language interpreters; established Busan clinic,Smaller regional clinic - verify surgeon credentials for major procedures,False,26,16,11,12,12
Dr. Mexico Dental Group,Dentistry,Tijuana,Mexico,32.5295,-117.0326,https://www.tijuanadentistcenter.com/,"Implants, All-on-4/6, full-mouth, makeovers",40-70% below US; price list on site,300,9000,Current MX Health Dept certifications,since 2014,77,B,Reputable · Do Your Diligence,Pacific - minutes from San Ysidro,Two-doctor practice; treatment plan before travel; border pickup; PPO help,No headline price list; no US-board credential claimed,False,28,16,11,11,11
DA Plastic Surgery,Cosmetic Surgery,Seoul,South Korea,37.5022,127.0409,https://daprseng.com,"Rhino, contouring, lifting, eyes, body","Double eyelid $2,000-4,000; rhino $4,000-8,000",2000,18000,MOHW foreign-patient institution,2010s,76,B,Reputable · Do Your Diligence,Incheon port ~40 km,Board-certified surgeons; established international sites & coordinators,Standard Gangnam caveats - verify surgeon certification,False,26,16,11,11,12
Cinderella Plastic Surgery,Cosmetic Surgery,Seoul,South Korea,37.4857,127.0207,https://cindyhospital.com,"Contouring, rhino, eyes, anti-aging, body","Double eyelid $1,800-3,800; contouring $9,000-17,000",1800,17000,MOHW-registered / govt-certified institution,2000s,76,B,Reputable · Do Your Diligence,Incheon port ~40 km,Board-certified surgeons; multiple domestic awards; on-site interpreters,Standard Gangnam caveats,False,26,16,10,12,12
Pacific Implant Center,Dentistry,Tijuana,Mexico,32.518,-117.0092,https://www.pacificimplantcenters.com/,"Implants, All-on-4/6/X, crowns, veneers",Quote on request; markets large savings,700,9000,States dentists US-trained (Harvard/Loma Linda/USC),14+ yrs,76,B,Reputable · Do Your Diligence,Pacific - 5 min from San Diego border,In-house lab w/ certified techs; modern medical plaza; US financing,US-training claims not individually documented; no public price list,False,28,16,10,11,11
Cancun Dental Design,Dentistry,Cancun,Mexico,21.1146,-86.7589,https://www.cancundentaldesign.com/,"All-on-4/6, 3-on-6, veneers, crowns, Invisalign","All-on-4 $11,000/arch; veneer $250-450",250,11000,"Dr. Zamora DDS,MS; team lists MX license IDs",15+ yrs,76,B,Reputable · Do Your Diligence,Caribbean - Hotel Zone on the water,Free airport+hotel transport; in-house lab; 3D CBCT; PPO reimbursement help,No US-board credential; two-trip implant model,False,28,14,12,11,11
"Human Longevity, Inc. (Health Nucleus)",Life Extension / Longevity,San Diego,USA,32.7157,-117.1611,https://www.humanlongevity.com,"Whole-genome + full-body MRI, multi-omic, executive","Executive from ~$8,000; full program $15,000-25,000",8000,25000,US-licensed precision-medicine clinics,since 2013,76,B,Reputable · Do Your Diligence,Pacific - San Diego Bay marinas (sailing fit),Deep genomics pedigree (J. Craig Venter); peer-reviewed whole-body screening data,Screening-overdiagnosis risk; 'add years to your life' outpaces proof; very high cost,False,18,18,13,13,14
Grand Plastic Surgery,Cosmetic Surgery,Seoul,South Korea,37.5037,127.0149,https://eng.grandsurgery.com,"Contouring, rhino, eyes, breast, body","Double eyelid $2,000-4,000; contouring $10,000-20,000",2000,20000,MOHW foreign-patient institution,2010s,75,B,Reputable · Do Your Diligence,Incheon port ~40 km,~20-surgeon team incl. anesthesiologists; 21-story facility; 7-language consultants,Very high-volume celebrity-marketing clinic - confirm named surgeon,False,26,16,10,12,11
Braun Plastic Surgery,Cosmetic Surgery,Seoul,South Korea,37.5115,127.0244,https://www.braunps.com,"Rhino, contouring, eyes, lifting, breast, body","Double eyelid $1,800-3,800; rhino $4,000-8,000",1800,18000,MOHW foreign-patient institution,2010s,75,B,Reputable · Do Your Diligence,Incheon port ~40 km,Board-certified surgeons; dedicated multi-floor Braun Building,Standard Gangnam caveats,False,26,16,10,11,12
Hirszfeld Institute - Phage Therapy Unit,Phage Therapy,Wroclaw,Poland,51.1079,17.0385,https://hirszfeld.pl/en/structure/iitd-pan-medical-center/phage-therapy-unit/,Ethics-approved experimental phage therapy for resistant infections,Cost-recovery / on request,2000,8000,Polish Academy of Sciences institute; bioethics-committee governed,PTU since 2005,75,B,Reputable · Do Your Diligence,Baltic via Szczecin ~370 km,Gold standard for ethically-governed EU phage therapy; extensive peer-reviewed literature,Not an approved therapy; access restricted & slow by design; not a walk-in service,False,18,16,13,14,14
Queen Astrid Military Hospital - Phage Program,Phage Therapy,Brussels,Belgium,50.8503,4.3517,https://www.bacteriophage.news/database/queen-astrid-military-hospital/,Magistral (compounded) phage for severe resistant infections,Compassionate use only,0,0,Belgian military hospital; national magistral legal framework; GMP,phage since 2007,75,B,Reputable · Do Your Diligence,North Sea via Zeebrugge/Ostend ~110 km,Model of responsible physician-gated phage access; peer-reviewed workflow; rigorous selection,Not accessible as tourism; extremely selective; long waits; case-by-case only,False,18,17,12,13,15
Dr. Cinik Hair Transplant,Hair Transplant,Istanbul,Turkey,40.9944,28.976,https://drcinik.com/,"FUE, Sapphire FUE, DHI","All-inclusive ~$2,500-4,500",2500,4500,MoH; states ISHRS membership,since 2013,74,B,Reputable · Do Your Diligence,Bosphorus - Galataport,"Named dermatologist; 50,000+ procedures; large review base",28 operating rooms = very high throughput; technicians do most graft work,False,27,14,10,12,11
AB Plastic Surgery,Cosmetic Surgery,Seoul,South Korea,37.49,127.0392,https://abplasticsurgerykorea.com,"Eyes, rhino, contouring, breast, body, derma","Double eyelid $1,800-3,800; rhino $4,000-7,500",1800,17000,MOHW foreign-patient institution,since 2020,73,B,Reputable · Do Your Diligence,Incheon port ~40 km,30+ specialists; in-house English interpreters; travel/accommodation support,Newer clinic (2020) - shorter track record; verify board certification,False,26,15,11,9,12
Link Plastic Surgery,Cosmetic Surgery,Seoul,South Korea,37.4959,127.0137,https://www.linkpskorea.com,"Eyes, rhino, contouring, breast, body, anti-aging","Double eyelid $1,800-3,800; rhino $4,000-7,500",1800,17000,MOHW foreign-patient institution,2010s,73,B,Reputable · Do Your Diligence,Incheon port ~40 km,Board-certified surgeons; dedicated international-patient service,Smaller clinic - confirm surgeon volume/credentials for complex procedures,False,26,15,10,10,12
Dental del Rio,Dentistry,Los Algodones,Mexico,32.7272,-114.7189,https://dentaldelrioalgodones.com/,"Implants, All-on-4/6/8, crowns, dentures","Implant $750 (Nobel $1,000); All-on-4 $8,900",750,11100,Works to ADA standards; brand-name implants,family-owned,73,B,Reputable · Do Your Diligence,Inland - not sailing-accessible,Very transparent price list; free shuttle + lodging rates; CBCT/CAD-CAM,No named accreditations/dentist bios; smaller than big groups,False,28,13,12,9,11
Smile Crafters (Algodones Dental Group),Dentistry,Los Algodones,Mexico,32.7048,-114.7324,https://algodonesdentalgroup.com/,"All-on-4, 3-on-6, implants, veneers, crowns","All-on-4 $11,000/arch; implant from $990",990,13000,PPO accepted; 'certified bilingual specialists',10+ yrs,73,B,Reputable · Do Your Diligence,Inland - not sailing-accessible,5-star Google; on-site luxury lodging; scheduled shuttle; transparent pricing,Higher All-on-4 pricing than local peers; accreditation detail thin,False,28,13,11,10,11
Vera Clinic,Hair Transplant,Istanbul,Turkey,41.0168,28.9895,https://www.veraclinic.net/,"Sapphire FUE, DHI (Oxycure)","All-inclusive ~$2,500-4,500",2500,4500,MoH; claims ISHRS/ABHRS/EBHRS registration; ISO,since ~2013,73,B,Reputable · Do Your Diligence,Bosphorus - Galataport,"30,000+ patients; heavy review presence; 5-star packages",Very high volume; no single celebrity surgeon - technician-assisted model,False,27,14,10,11,11
Elithair (Dr. Balwi),Hair Transplant,Istanbul,Turkey,41.02,28.9708,https://elithair.com/,"DHI-focused, FUE, Sapphire; Pre-Test System","All-inclusive ~$2,000-4,000",2000,4000,MoH; TUV-certified (German quality mark),since 2015,73,B,Reputable · Do Your Diligence,Bosphorus - Galataport,TUV certification; very large volume; strong German-market presence + aftercare app,'Biggest clinic in the world' throughput signal; surgery delegated to technicians,False,27,14,9,12,11
Marietta Dental Care,Dentistry,Tijuana,Mexico,32.5369,-117.0076,https://www.mariettadentalcare.com.mx/,"General, cosmetic, restorative; crowns, implants","Implant ~$800-1,300; crown ~$300-450",300,1300,ADA member (per listings); Mexican-licensed,unknown,72,B,Reputable · Do Your Diligence,Pacific - 10 min from San Ysidro,"Family-owned; modern tech (lasers, 3D scanners); positive reviews",Thin web presence; no online price list; founding year unstated,False,28,15,9,9,11
Hair of Istanbul,Hair Transplant,Istanbul,Turkey,41.0046,28.9919,https://www.hairofistanbul.com/,"FUE, Sapphire FUE, DHI","All-inclusive ~$3,000-5,500",3000,5500,MoH; plastic-surgeon supervision + anaesthesiologist,since 2014,72,B,Reputable · Do Your Diligence,Bosphorus - Galataport,Premium branding; procedures planned under plastic-surgeon supervision,'Surgeon-supervised' is not surgeon-performed - confirm who operates,False,27,13,10,10,12
Asli Tarcan Clinic,Hair Transplant,Istanbul,Turkey,41.0017,28.966,https://aslitarcanclinic.com/,"FUE, DHI, Sapphire, beard/eyebrow, mesotherapy","All-inclusive ~$2,500-4,500",2500,4500,Turkish MoH accreditation,2010s,72,B,Reputable · Do Your Diligence,Bosphorus - Galataport,"Boutique, limited daily volume; personalized hairline design; strong Trustpilot",No internationally-famous named surgeon - verify who operates,False,27,13,10,10,12
Heva Clinic,Hair Transplant,Istanbul,Turkey,41.014,28.9657,https://www.dentalhairclinicturkey.com/,"FUE, DHI, afro-textured & women's hair","All-inclusive ~$2,000-4,000",2000,4000,MoH; ISHRS-affiliated medical director (per clinic),2010s,71,B,Reputable · Do Your Diligence,Bosphorus - Galataport,Afro/curly-hair expertise (a genuine technical niche),Domain also markets dental tourism - confirm surgeon credentials directly,False,27,13,10,9,12
Metabolic (GluCare) - Longevity,Life Extension / Longevity,Dubai,UAE,25.2048,55.2708,https://metabolic.health/longevity/,"100+ biomarker testing/imaging, peptides, HRT/TRT","Membership ~$2,000-8,000/yr",2000,8000,UAE MOHAP-licensed; physician-ordered labs,2020s,71,B,Reputable · Do Your Diligence,Persian Gulf - Dubai Harbour marinas (sailing fit),Genuinely diagnostics-led; transparent; insurance-free; multi-specialty physician team,Peptides/HRT + heavy testing risk over-treatment; marketing outruns lifespan evidence,False,16,17,14,11,13
DESIGN Plastic Surgery (Busan),Cosmetic Surgery,Busan,South Korea,35.1484,129.0695,https://designprsglobal.com,"Eyes, rhino, contouring, lifting, body","Double eyelid $1,500-3,500; contouring $8,000-15,000",1500,15000,MOHW foreign-patient institution,2010s,70,B,Reputable · Do Your Diligence,Busan - major cruise/yacht port (sailing fit),English 'global' site + consultation team; central Seomyeon district,Small clinic; limited public credential detail - request KSPRS verification,False,26,14,9,10,11
Clinique La Prairie,Life Extension / Longevity,Montreux,Switzerland,46.4312,6.9107,https://www.cliniquelaprairie.com,"Cell therapy 'Revitalisation', longevity diagnostics","7-day program ~$37,000-75,000+",37000,75000,Swiss-licensed private clinic; luxury networks,since 1931,70,B,Reputable · Do Your Diligence,Lake Geneva - Mediterranean via Genoa ~270 km,50+ on-site physicians; 90+ yr track record; genetic/epigenetic testing; licensed stem cell,Flagship 'revitalisation' descends from unproven fresh-cell therapy; extreme cost,False,14,16,12,15,13
Fountain Life,Life Extension / Longevity,"Naples, FL",USA,26.142,-81.7948,https://www.fountainlife.com,"Whole-body MRI, coronary CTA, 100+ biomarkers, genome","CORE ~$6,500; APEX ~$19,500-21,500/yr",6500,21500,US-licensed physicians/imaging,since 2020,70,B,Reputable · Do Your Diligence,Gulf of Mexico - Naples City Dock marinas (sailing fit),High-end validated imaging (MRI/CTA) with real early-detection value; physician review,Whole-body MRI in healthy people risks incidentalomas; regenerative/stem-cell upsell,False,16,17,13,11,13
Clinique Nescens (Genolier),Life Extension / Longevity,Genolier,Switzerland,46.4364,6.2136,https://www.nescens.com,"Preventive longevity medicine, epigenetics, better-aging","~$5,000-25,000+ (quote-based)",5000,25000,Swiss Medical Network hospital-adjacent; academic founder,since ~2000,70,B,Reputable · Do Your Diligence,Lake Geneva - Mediterranean via Genoa ~280 km,Founded by biology-of-aging academic (Prof. Proust); emphasis on validated diagnostics,Some regenerative/stem-cell offerings outpace hard outcome evidence,False,16,17,12,12,13
Longevita,Hair Transplant,Izmir,Turkey,38.4237,27.1428,https://www.longevitahairtransplant.com/,"FUE, DHI, Sapphire FUE","All-inclusive ~$2,000-3,500",2000,3500,MoH; UK-registered facilitator (UK aftercare),since ~2012,69,B,Reputable · Do Your Diligence,Aegean - Alsancak cruise port / Cesme marina,"UK-facing follow-up presence; 40,000+ procedures; flexible payment",Primarily a health-tourism facilitator - you may not know the surgeon until arrival,False,27,12,8,11,11
Este Medical Group,Hair Transplant,Istanbul,Turkey,41.0214,28.9831,https://www.estemedicalgroup.com/,"FUE, DHI, Sapphire FUE + cosmetic add-ons","All-inclusive ~$2,500-4,500",2500,4500,MoH; UK trading presence,since ~2013,69,B,Reputable · Do Your Diligence,Bosphorus - Galataport,"UK + Turkey footprint for follow-up; 20,000+ procedures; group scale",Multi-service group/facilitator breadth; confirm operating surgeon,False,27,12,9,10,11
Clinicana,Hair Transplant,Istanbul,Turkey,40.9953,28.9839,https://www.clinicana.com/,"Sapphire FUE, DHI","All-inclusive ~$2,500-4,500",2500,4500,Turkish MoH,since 2011,69,B,Reputable · Do Your Diligence,Bosphorus - Galataport,Long-running; established English/Arabic patient base,No single famous named surgeon; technician-assisted volume model,False,27,12,9,10,11
Grand Resort Bad Ragaz - Tamina Health,Life Extension / Longevity,Bad Ragaz,Switzerland,47.0059,9.5028,https://www.resortragaz.ch/en/tamina-health,"Longevity, detox, check-up, thermal/spa medicine","~$3,000-20,000+ + accommodation",3000,20000,30+ physicians/specialists; Swiss-licensed medical resort,modern center,69,B,Reputable · Do Your Diligence,Rhine valley - Lake Constance ~45 km,Large multidisciplinary medical/rehab team; genuine diagnostic & rehab capability,Longevity branding layered on spa/rehab; some naturopathy units with limited evidence,False,15,16,12,13,13
SHA Wellness Clinic,Life Extension / Longevity,Albir,Spain,38.571,-0.049,https://shawellnessclinic.com,"Advanced Longevity program, hypoxia, NAD, nutrition","~EUR 3,000-20,000+ incl. stay (Longevity ~EUR 12,000)",3300,22000,Spanish-licensed medical clinic; internationally awarded,since 2008,69,B,Reputable · Do Your Diligence,Mediterranean - Altea/Benidorm marinas (sailing fit),Large medical staff; structured diagnostics; macrobiotic-nutrition heritage,NAD/hyperbaric/hypoxia lack lifespan-extension proof; luxury pricing,False,14,16,13,13,13
